%Time,bubbleVolume,bubblepressure,bubblemass,oilmass,watermass
0,1.61686e-17,7.76996e-09,5.85987e-15,1.0004e-07,2.9606e-07
1.2e-12,1.61686e-17,7.76996e-09,5.85987e-15,1.0004e-07,2.9606e-07
2.64e-12,1.61686e-17,7.76996e-09,5.85988e-15,1.0004e-07,2.9606e-07
4.368e-12,1.61686e-17,7.76996e-09,5.85988e-15,1.0004e-07,2.9606e-07
6.4416e-12,1.61686e-17,7.76997e-09,5.85988e-15,1.0004e-07,2.9606e-07
8.92992e-12,1.61686e-17,7.76997e-09,5.85988e-15,1.0004e-07,2.9606e-07
1.19159e-11,1.61686e-17,7.76997e-09,5.85988e-15,1.0004e-07,2.9606e-07
1.54991e-11,1.61686e-17,7.76997e-09,5.85988e-15,1.0004e-07,2.9606e-07
1.97989e-11,1.61686e-17,7.76997e-09,5.85988e-15,1.0004e-07,2.9606e-07
2.49587e-11,1.61686e-17,7.76997e-09,5.85989e-15,1.0004e-07,2.9606e-07
3.11504e-11,1.61687e-17,7.76997e-09,5.8599e-15,1.0004e-07,2.9606e-07
3.85805e-11,1.61687e-17,7.76997e-09,5.85991e-15,1.0004e-07,2.9606e-07
4.74965e-11,1.61688e-17,7.76997e-09,5.85993e-15,1.0004e-07,2.9606e-07
5.81958e-11,1.61689e-17,7.76998e-09,5.85995e-15,1.0004e-07,2.9606e-07
7.1035e-11,1.6169e-17,7.76998e-09,5.85999e-15,1.0004e-07,2.9606e-07
8.6442e-11,1.61692e-17,7.76998e-09,5.86004e-15,1.0004e-07,2.9606e-07
1.0493e-10,1.61696e-17,7.76999e-09,5.86012e-15,1.0004e-07,2.9606e-07
1.27117e-10,1.617e-17,7.77e-09,5.86023e-15,1.0004e-07,2.9606e-07
1.5374e-10,1.61707e-17,7.77001e-09,5.8604e-15,1.0004e-07,2.9606e-07
1.85688e-10,1.61717e-17,7.77003e-09,5.86064e-15,1.0004e-07,2.9606e-07
2.24026e-10,1.61731e-17,7.77006e-09,5.86098e-15,1.0004e-07,2.9606e-07
2.70031e-10,1.61751e-17,7.7701e-09,5.86147e-15,1.0004e-07,2.9606e-07
3.25237e-10,1.61781e-17,7.76757e-09,5.86024e-15,1.0004e-07,2.9606e-07
3.91485e-10,1.61803e-17,7.76554e-09,5.85995e-15,1.0004e-07,2.9606e-07
4.70983e-10,1.61836e-17,7.76282e-09,5.85972e-15,1.0004e-07,2.9606e-07
5.66376e-10,1.61883e-17,7.75904e-09,5.8595e-15,1.0004e-07,2.9606e-07
6.80846e-10,1.61951e-17,7.7537e-09,5.85926e-15,1.0004e-07,2.9606e-07
8.18209e-10,1.62049e-17,7.7461e-09,5.85895e-15,1.0004e-07,2.9606e-07
9.83036e-10,1.62193e-17,7.73531e-09,5.85854e-15,1.0004e-07,2.9606e-07
1.18082e-09,1.62401e-17,7.72004e-09,5.85797e-15,1.0004e-07,2.9606e-07
1.41818e-09,1.62706e-17,7.69856e-09,5.85718e-15,1.0004e-07,2.9606e-07
1.703e-09,1.63153e-17,7.67162e-09,5.85939e-15,1.0004e-07,2.9606e-07
2.04084e-09,1.6374e-17,7.63291e-09,5.85935e-15,1.0004e-07,2.9606e-07
2.42482e-09,1.64565e-17,7.58395e-09,5.8601e-15,1.0004e-07,2.9606e-07
2.83282e-09,1.65645e-17,7.52734e-09,5.86206e-15,1.0004e-07,2.9606e-07
3.19983e-09,1.66823e-17,7.47335e-09,5.8653e-15,1.0004e-07,2.9606e-07
3.53808e-09,1.68091e-17,7.42031e-09,5.86807e-15,1.0004e-07,2.9606e-07
3.85522e-09,1.69451e-17,7.36769e-09,5.86987e-15,1.0004e-07,2.9606e-07
4.15617e-09,1.70901e-17,7.31559e-09,5.87083e-15,1.0004e-07,2.9606e-07
4.44432e-09,1.72443e-17,7.26405e-09,5.87101e-15,1.0004e-07,2.9606e-07
4.72202e-09,1.74076e-17,7.21331e-09,5.8707e-15,1.0004e-07,2.9606e-07
4.99101e-09,1.75801e-17,7.16347e-09,5.87004e-15,1.0004e-07,2.9606e-07
5.25265e-09,1.77618e-17,7.11462e-09,5.86917e-15,1.0004e-07,2.9606e-07
5.50804e-09,1.79527e-17,7.06691e-09,5.86834e-15,1.0004e-07,2.9606e-07
5.75804e-09,1.81527e-17,7.0202e-09,5.86741e-15,1.0004e-07,2.9606e-07
6.00329e-09,1.83616e-17,6.97462e-09,5.86661e-15,1.0004e-07,2.9606e-07
6.24443e-09,1.85794e-17,6.93007e-09,5.86588e-15,1.0004e-07,2.9606e-07
6.48195e-09,1.8806e-17,6.88657e-09,5.86527e-15,1.0004e-07,2.9606e-07
6.71621e-09,1.90411e-17,6.84395e-09,5.86464e-15,1.0004e-07,2.9606e-07
6.94758e-09,1.92846e-17,6.80228e-09,5.86411e-15,1.0004e-07,2.9606e-07
7.1765e-09,1.95363e-17,6.76146e-09,5.86363e-15,1.0004e-07,2.9606e-07
7.40328e-09,1.97961e-17,6.72146e-09,5.86323e-15,1.0004e-07,2.9606e-07
7.62825e-09,2.00639e-17,6.68224e-09,5.8629e-15,1.0004e-07,2.9606e-07
7.85186e-09,2.03398e-17,6.64367e-09,5.86256e-15,1.0004e-07,2.9606e-07
8.07447e-09,2.06237e-17,6.6057e-09,5.86221e-15,1.0004e-07,2.9606e-07
8.29628e-09,2.09156e-17,6.56836e-09,5.86194e-15,1.0004e-07,2.9606e-07
8.51719e-09,2.12149e-17,6.53163e-09,5.8617e-15,1.0004e-07,2.9606e-07
8.73752e-09,2.15216e-17,6.49456e-09,5.85993e-15,1.0004e-07,2.9606e-07
8.95761e-09,2.18371e-17,6.45866e-09,5.85943e-15,1.0004e-07,2.9606e-07
9.17774e-09,2.21602e-17,6.42334e-09,5.85912e-15,1.0004e-07,2.9606e-07
9.39827e-09,2.24911e-17,6.3885e-09,5.85892e-15,1.0004e-07,2.9606e-07
9.61948e-09,2.28299e-17,6.35406e-09,5.85879e-15,1.0004e-07,2.9606e-07
9.84164e-09,2.31769e-17,6.31997e-09,5.85869e-15,1.0004e-07,2.9606e-07
1.00644e-08,2.35313e-17,6.28626e-09,5.85863e-15,1.0004e-07,2.9606e-07
1.02881e-08,2.38933e-17,6.2529e-09,5.85859e-15,1.0004e-07,2.9606e-07
1.05129e-08,2.4263e-17,6.21985e-09,5.85856e-15,1.0004e-07,2.9606e-07
1.07389e-08,2.46403e-17,6.18709e-09,5.85854e-15,1.0004e-07,2.9606e-07
1.09659e-08,2.50249e-17,6.15465e-09,5.85853e-15,1.0004e-07,2.9606e-07
1.11942e-08,2.54172e-17,6.12248e-09,5.85853e-15,1.0004e-07,2.9606e-07
1.14242e-08,2.58173e-17,6.09053e-09,5.85854e-15,1.0004e-07,2.9606e-07
1.16561e-08,2.62255e-17,6.05879e-09,5.85857e-15,1.0004e-07,2.9606e-07
1.18892e-08,2.66407e-17,6.02733e-09,5.85861e-15,1.0004e-07,2.9606e-07
1.21239e-08,2.70632e-17,5.9961e-09,5.85863e-15,1.0004e-07,2.9606e-07
1.23603e-08,2.74932e-17,5.96575e-09,5.86039e-15,1.0004e-07,2.9606e-07
1.25989e-08,2.79298e-17,5.93505e-09,5.86069e-15,1.0004e-07,2.9606e-07
1.28397e-08,2.83747e-17,5.90441e-09,5.86081e-15,1.0004e-07,2.9606e-07
1.3082e-08,2.8826e-17,5.87402e-09,5.8609e-15,1.0004e-07,2.9606e-07
1.33259e-08,2.92841e-17,5.84386e-09,5.86101e-15,1.0004e-07,2.9606e-07
1.35718e-08,2.97496e-17,5.81388e-09,5.86113e-15,1.0004e-07,2.9606e-07
1.38201e-08,3.02229e-17,5.78403e-09,5.8612e-15,1.0004e-07,2.9606e-07
1.4071e-08,3.07046e-17,5.75428e-09,5.86126e-15,1.0004e-07,2.9606e-07
1.43234e-08,3.11922e-17,5.72477e-09,5.86129e-15,1.0004e-07,2.9606e-07
1.45775e-08,3.1686e-17,5.69549e-09,5.86131e-15,1.0004e-07,2.9606e-07
1.48335e-08,3.21866e-17,5.66642e-09,5.8614e-15,1.0004e-07,2.9606e-07
1.50917e-08,3.26942e-17,5.63752e-09,5.86146e-15,1.0004e-07,2.9606e-07
