%Time,bubbleVolume,bubblepressure,bubblemass,oilmass,watermass
0,1.64247e-17,7.94628e-09,5.9845e-15,0,4.00081e-07
1.2e-12,1.64247e-17,7.94628e-09,5.9845e-15,0,4.00081e-07
2.64e-12,1.64247e-17,7.94628e-09,5.9845e-15,0,4.00081e-07
4.368e-12,1.64247e-17,7.94628e-09,5.9845e-15,0,4.00081e-07
6.4416e-12,1.64247e-17,7.94628e-09,5.9845e-15,0,4.00081e-07
8.92992e-12,1.64248e-17,7.94628e-09,5.9845e-15,0,4.00081e-07
1.19159e-11,1.64248e-17,7.94628e-09,5.9845e-15,0,4.00081e-07
1.54991e-11,1.64248e-17,7.94628e-09,5.9845e-15,0,4.00081e-07
1.97989e-11,1.64248e-17,7.94628e-09,5.98451e-15,0,4.00081e-07
2.49587e-11,1.64248e-17,7.94628e-09,5.98451e-15,0,4.00081e-07
3.11504e-11,1.64248e-17,7.94629e-09,5.98452e-15,0,4.00081e-07
3.85805e-11,1.64249e-17,7.94629e-09,5.98453e-15,0,4.00081e-07
4.74965e-11,1.64249e-17,7.94629e-09,5.98455e-15,0,4.00081e-07
5.81958e-11,1.6425e-17,7.94629e-09,5.98458e-15,0,4.00081e-07
7.1035e-11,1.64252e-17,7.94629e-09,5.98462e-15,0,4.00081e-07
8.6442e-11,1.64254e-17,7.9463e-09,5.98467e-15,0,4.00081e-07
1.0493e-10,1.64257e-17,7.94631e-09,5.98475e-15,0,4.00081e-07
1.27117e-10,1.64262e-17,7.94632e-09,5.98486e-15,0,4.00081e-07
1.5374e-10,1.64269e-17,7.94633e-09,5.98503e-15,0,4.00081e-07
1.85688e-10,1.64279e-17,7.94634e-09,5.98527e-15,0,4.00081e-07
2.24026e-10,1.64293e-17,7.94637e-09,5.98562e-15,0,4.00081e-07
2.70031e-10,1.64314e-17,7.9446e-09,5.98475e-15,0,4.00081e-07
3.25237e-10,1.6433e-17,7.94317e-09,5.98455e-15,0,4.00081e-07
3.91485e-10,1.64352e-17,7.94125e-09,5.98439e-15,0,4.00081e-07
4.70983e-10,1.64385e-17,7.93858e-09,5.98424e-15,0,4.00081e-07
5.66376e-10,1.64433e-17,7.93479e-09,5.98406e-15,0,4.00081e-07
6.80846e-10,1.64502e-17,7.92939e-09,5.98385e-15,0,4.00081e-07
8.18209e-10,1.64602e-17,7.92169e-09,5.98355e-15,0,4.00081e-07
